Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
General Surgeon,"Chicago, IL","The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",321704,385800,456200,541400,618970
Cardiothoracic Surgeon,"Chicago, IL","The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",339734,438700,547400,686200,812570
Neurological Surgeon,"Chicago, IL","The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",372945,532000,706700,894200,1064909
Oral Surgeon,"Chicago, IL","The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",289543,309300,331000,361600,389460
Orthopedic Surgeon,"Chicago, IL","The Orthopedic Surgeon performs surgical procedures to immobilize fractures by using corrective devices such as braces, pins, casts, and splints. Examines, diagnoses, and surgically treats musculoskeletal diseases and injuries. Being an Orthopedic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Orthopedic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. Orthopedic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",334158,444140,564940,730860,881921
Burn Surgeon,"Chicago, IL","The Burn Surgeon performs escharectomy, skin grafting, and secondary burn surgery. Examines, diagnoses, and surgically treats patients with burns from heat, cold, chemical, or electrical incidents. Being a Burn Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Burn Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Burn Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",224791,327800,499200,630900,750806
General Surgeon,"Houston, TX","The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",310281,372100,440000,522200,597039
Cardiothoracic Surgeon,"Houston, TX","The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",327785,423200,528000,661800,783618
Neurological Surgeon,"Houston, TX","The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",359881,513200,681600,862500,1027200
Oral Surgeon,"Houston, TX","The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",279463,298400,319200,348800,375749
Orthopedic Surgeon,"Houston, TX","The Orthopedic Surgeon performs surgical procedures to immobilize fractures by using corrective devices such as braces, pins, casts, and splints. Examines, diagnoses, and surgically treats musculoskeletal diseases and injuries. Being an Orthopedic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Orthopedic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. Orthopedic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",322305,428390,544910,704950,850658
Burn Surgeon,"Houston, TX","The Burn Surgeon performs escharectomy, skin grafting, and secondary burn surgery. Examines, diagnoses, and surgically treats patients with burns from heat, cold, chemical, or electrical incidents. Being a Burn Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Burn Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Burn Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",216768,316100,481500,608500,724127
General Surgeon,"Phoenix, AZ","The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",301301,361300,427200,507000,579654
Cardiothoracic Surgeon,"Phoenix, AZ","The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",318307,410900,512600,642600,760958
Neurological Surgeon,"Phoenix, AZ","The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",349251,498200,661800,837300,997084
Oral Surgeon,"Phoenix, AZ","The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",271309,289700,309900,338600,364730
Orthopedic Surgeon,"Phoenix, AZ","The Orthopedic Surgeon performs surgical procedures to immobilize fractures by using corrective devices such as braces, pins, casts, and splints. Examines, diagnoses, and surgically treats musculoskeletal diseases and injuries. Being an Orthopedic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Orthopedic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. Orthopedic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",312920,415910,529030,684400,825856
Burn Surgeon,"Phoenix, AZ","The Burn Surgeon performs escharectomy, skin grafting, and secondary burn surgery. Examines, diagnoses, and surgically treats patients with burns from heat, cold, chemical, or electrical incidents. Being a Burn Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Burn Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Burn Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",210459,306900,467500,590800,703058
General Surgeon,"Philadelphia, PA","The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",323640,388100,458900,544600,622625
Cardiothoracic Surgeon,"Philadelphia, PA","The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",341888,441400,550700,690300,817399
Neurological Surgeon,"Philadelphia, PA","The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",375234,535200,710900,899500,1071210
Oral Surgeon,"Philadelphia, PA","The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",291352,311200,333000,363700,391651
Orthopedic Surgeon,"Philadelphia, PA","The Orthopedic Surgeon performs surgical procedures to immobilize fractures by using corrective devices such as braces, pins, casts, and splints. Examines, diagnoses, and surgically treats musculoskeletal diseases and injuries. Being an Orthopedic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Orthopedic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. Orthopedic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",336143,446790,568320,735220,887174
Burn Surgeon,"Philadelphia, PA","The Burn Surgeon performs escharectomy, skin grafting, and secondary burn surgery. Examines, diagnoses, and surgically treats patients with burns from heat, cold, chemical, or electrical incidents. Being a Burn Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Burn Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Burn Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",226094,329700,502200,634700,755334
General Surgeon,"San Antonio, TX","The General Surgeon reviews patient history and confirms need for surgery. Performs surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being a General Surgeon may provide medical personnel with direction concerning patient care. Determines which instruments and method of surgery will be most successful in achieving desired outcome. In addition, General Surgeon may provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. General Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",294158,352700,417000,495000,566015
Cardiothoracic Surgeon,"San Antonio, TX","The Cardiothoracic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Specializes in the diagnosis, medical management, and surgical treatment of patients with diseases of the heart and lungs. Being a Cardiothoracic Surgeon reviews patient history and confirms need for surgery. Identifies need for tests or follow-up visits. In addition, Cardiothoracic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Cardiothoracic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",310693,401100,500400,627300,742836
Neurological Surgeon,"San Antonio, TX","The Neurological Surgeon operates on the brain in order to relieve pressure in an intracranial hemorrhage, remove a foreign body such as a tumor, treat a wound, or relieve pain. Examines, diagnoses, and surgically treats disorders of the brain, spine, spinal cord, and nerves. Being a Neurological Surgeon reviews patient history and confirms need for surgery. Operates on the spine in order to free entrapped nerves, correct deformity, or restore spinal stability. In addition, Neurological Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Neurological Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",341001,486400,646100,817500,973551
Oral Surgeon,"San Antonio, TX","The Oral Surgeon reviews patient history and confirms need for oral surgery. Performs oral surgery to prevent and correct injuries, deformities, diseases or improve patient function, appearance or quality of life. Being an Oral Surgeon reviews patient history and confirms need for surgery. Determines which instruments and method of oral surgery will be most successful in achieving desired outcome. In addition, Oral Surgeon provides charting in compliance with all laws and regulations. May provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Requires a special degree in medicine from an accredited school. Typically reports to the chief of surgery. Requires a license to practice. Oral Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",264773,282800,302600,330600,356093
Orthopedic Surgeon,"San Antonio, TX","The Orthopedic Surgeon performs surgical procedures to immobilize fractures by using corrective devices such as braces, pins, casts, and splints. Examines, diagnoses, and surgically treats musculoskeletal diseases and injuries. Being an Orthopedic Surgeon determines which instruments and method of surgery will be most successful in achieving desired outcome. Reviews patient history and confirms need for surgery. In addition, Orthopedic Surgeon may provide medical personnel with direction concerning patient care. May provide in-service training as needed to address new technology in health care treatment. Provides charting in compliance with all laws and regulations. Requires a special degree in medicine from an accredited school. Typically reports to a medical director. Requires a license to practice. Orthopedic Surgeon&#39;s years of experience requirement may be unspecified. Certification and/or licensing in the position&#39;s specialty is the main requirement.",305490,406040,516480,668160,806257
